Local Government Area,LGA name,Sum of Incidents Recorded,"Sum of PSA Rate per 100,000 population","Sum of LGA Rate per 100,000 population"
Alpine,NA,3474,4915.2,27511.1
Ararat,NA,9166,30494.2,78152.1
Ballarat,NA,83056,74393.3,79570.7
Banyule,Banyule City,67412,52627.8,52627.8
Bass Coast,Bass Coast Shire,19292,30475.6,56637.4
Baw Baw,Baw Baw Shire,28049,55528.7,55528.7
Bayside,Bayside City,37166,14716.7,36052.3
Benalla,Benalla City,9011,24355,64365.1
Boroondara,Boroondara City,59857,33852.8,33852.8
Brimbank,Brimbank City,145820,71894.5,71894.5
Buloke,NA,2013,5370,32319.3
Campaspe,NA,24992,66671.9,66671.9
Cardinia,Cardinia Shire,46620,46770.6,46770.6
Casey,Casey City,148354,46300.9,46300.9
Central Goldfields,,8520,41485.5,65420.1
Colac-Otway,Colac Otway Shire,12408,23594.5,58097.1
Corangamite,NA,5661,8404.7,35028.5
Darebin,Darebin City,111640,71352.4,71352.4
East Gippsland,NA,31627,68910.5,68910.5
Frankston,Frankston City,107909,77585.8,77585.8
Gannawarra,NA,4987,13312,47556.2
Glen Eira,Glen Eira City,52052,20577.3,34762.2
Glenelg,NA,11800,32876.5,59876.1
Golden Plains,Golden Plains Shire,4787,6754.7,21525.4
Greater Bendigo,Greater Bendigo Shire,70815,62394.9,62394.9
Greater Dandenong,Greater Dandenong City,134371,84266,84266
Greater Geelong,Greater Geelong City,156340,63475.4,64254.8
Greater Shepparton,,57669,88389,88389
Hepburn,Hepburn Shire,5887,8322.7,37823
Hindmarsh,NA,2285,7751.6,40122.2
Hobsons Bay,Hobsons Bay City,51465,55102.4,55102.4
Horsham,NA,15626,52960.7,78757.2
Hume,Hume City,144841,68468.3,68468.3
Indigo,NA,3739,5980.8,23004.6
Kingston,Kingston City,79232,49620.9,49620.9
Knox,Knox City,78335,48672.6,48672.6
Latrobe,NA,89129,118925.6,118925.6
Loddon,NA,3375,16432.6,44938.2
Macedon Ranges,Macedon Ranges Shire,15625,23278.8,32592.6
Manningham,Manningham City,33788,27402.3,27402.3
Mansfield,Mansfield Shire,3603,9746.6,40953
Maribyrnong,Maribyrnong City,69786,80248.1,80248.1
Maroondah,Maroondah City,58386,50848,50848
Melbourne,Melbourne City,257319,175905.6,175905.6
Melton,Melton City,82310,56195.4,56195.4
Mildura,NA,48506,88732.5,88732.5
Mitchell,Mitchell Shire,26756,50282,62619
Moira,NA,14022,19796.8,47444.9
Monash,Monash City,80091,41253.1,41253.1
Moonee Valley,Moonee Valley City,66704,54126.1,54126.1
Moorabool,Moorabool Shire,16511,23238.3,49836.4
Moreland,Moreland City,105632,60739.2,60739.2
Mornington Peninsula,Mornington Peninsula Shire,79528,49162.5,49162.5
Mount Alexander,Mount Alexander Shire,7455,11114.9,38885.9
Moyne,NA,4804,7138.6,28732.1
Murrindindi,Murrindindi Shire,5478,14804.7,38653.6
Nillumbik,Nillumbik Shire,17052,26553.2,26553.2
Northern Grampians,,7818,26012.6,67585.8
Port Phillip,Port Phillip City,95915,87917.1,87917.1
Pyrenees,NA,3419,3046.4,46955.1
Queenscliffe,Queenscliffe Borough,1070,437.3,35979.2
South Gippsland,South Gippsland Shire,10462,16433.9,35708.5
Southern Grampians,,8829,24605.1,54559.2
Stonnington,Stonnington City,80988,72768,72768
Strathbogie,NA,4161,7856.2,39863.5
Surf Coast,Surf Coast Shire,10549,20128.2,34028.7
Swan Hill,NA,16706,44561.4,80431.5
Towong,NA,1737,2790.6,28818.6
Wangaratta,NA,17133,24271.4,60087.8
Warrnambool,NA,23068,34225.1,66896.4
Wellington,NA,29691,67922.9,67922.9
West Wimmera,NA,1238,4197.8,31463.7
Whitehorse,Whitehorse City,62212,36351.3,36351.3
Whittlesea,Whittlesea City,110422,53233.7,53233.7
Wodonga,NA,25061,40150.2,62429.6
Wyndham,Wyndham City,115194,49651.2,49651.2
Yarra,Yarra City,103335,110620.2,110620.2
Yarra Ranges,Yarra Ranges Shire,56317,36192.9,36192.9
Yarriambiack,NA,2973,9893.1,44124.1
Grand Total,Grand Total,3710436,3297817.9,4407581.7
